5 #SUP: 44396
7 #SUP: 20081
8 #SUP: 37967
9 #SUP: 28934
11 #SUP: 39922
13 #SUP: 36959
15 #SUP: 23265
17 #SUP: 27214
19 #SUP: 25130
22 #SUP: 23202
48 #SUP: 23289
5 7  #SUP: 19701
5 8  #SUP: 37453
5 9  #SUP: 28413
5 11  #SUP: 39159
5 13  #SUP: 36201
5 15  #SUP: 22824
5 17  #SUP: 26766
5 19  #SUP: 24695
5 22  #SUP: 22744
5 48  #SUP: 23049
7 8  #SUP: 17204
7 11  #SUP: 16727
7 13  #SUP: 16969
8 9  #SUP: 24265
8 11  #SUP: 33162
8 13  #SUP: 30836
8 15  #SUP: 19592
8 17  #SUP: 22554
8 19  #SUP: 20763
8 22  #SUP: 18899
8 48  #SUP: 19439
9 11  #SUP: 26044
9 13  #SUP: 23358
9 15  #SUP: 15070
9 17  #SUP: 17429
9 19  #SUP: 16075
9 22  #SUP: 15026
9 48  #SUP: 14960
11 13  #SUP: 33573
11 15  #SUP: 20457
11 17  #SUP: 24459
11 19  #SUP: 23195
11 22  #SUP: 20752
11 48  #SUP: 20755
13 15  #SUP: 18797
13 17  #SUP: 22472
13 19  #SUP: 19990
13 22  #SUP: 18951
13 48  #SUP: 19082
15 19  #SUP: 14372
17 19  #SUP: 15321
17 22  #SUP: 13770
19 22  #SUP: 14038
5 7 8  #SUP: 16992
5 7 11  #SUP: 16370
5 7 13  #SUP: 16603
5 8 9  #SUP: 23929
5 8 11  #SUP: 32685
5 8 13  #SUP: 30359
5 8 15  #SUP: 19307
5 8 17  #SUP: 22270
5 8 19  #SUP: 20461
5 8 22  #SUP: 18608
5 8 48  #SUP: 19277
5 9 11  #SUP: 25538
5 9 13  #SUP: 22866
5 9 15  #SUP: 14778
5 9 17  #SUP: 17146
5 9 19  #SUP: 15796
5 9 22  #SUP: 14730
5 9 48  #SUP: 14814
5 11 13  #SUP: 32862
5 11 15  #SUP: 20043
5 11 17  #SUP: 24031
5 11 19  #SUP: 22789
5 11 22  #SUP: 20322
5 11 48  #SUP: 20528
5 13 15  #SUP: 18393
5 13 17  #SUP: 22046
5 13 19  #SUP: 19598
5 13 22  #SUP: 18532
5 13 48  #SUP: 18858
5 15 19  #SUP: 14106
5 17 19  #SUP: 15078
5 19 22  #SUP: 13794
7 8 11  #SUP: 14069
7 8 13  #SUP: 14365
7 11 13  #SUP: 14868
8 9 11  #SUP: 21540
8 9 13  #SUP: 19432
8 9 17  #SUP: 14404
8 11 13  #SUP: 27814
8 11 15  #SUP: 17053
8 11 17  #SUP: 20069
8 11 19  #SUP: 19093
8 11 22  #SUP: 16743
8 11 48  #SUP: 17159
8 13 15  #SUP: 15694
8 13 17  #SUP: 18555
8 13 19  #SUP: 16471
8 13 22  #SUP: 15312
8 13 48  #SUP: 15820
9 11 13  #SUP: 21830
9 11 17  #SUP: 15917
9 11 19  #SUP: 15346
9 11 22  #SUP: 13745
9 11 48  #SUP: 13584
9 13 17  #SUP: 14227
11 13 15  #SUP: 16980
11 13 17  #SUP: 20766
11 13 19  #SUP: 18705
11 13 22  #SUP: 17355
11 13 48  #SUP: 17441
11 17 19  #SUP: 14312
5 7 8 11  #SUP: 13872
5 7 8 13  #SUP: 14161
5 7 11 13  #SUP: 14525
5 8 9 11  #SUP: 21217
5 8 9 13  #SUP: 19115
5 8 9 17  #SUP: 14219
5 8 11 13  #SUP: 27371
5 8 11 15  #SUP: 16788
5 8 11 17  #SUP: 19799
5 8 11 19  #SUP: 18813
5 8 11 22  #SUP: 16472
5 8 11 48  #SUP: 17007
5 8 13 15  #SUP: 15433
5 8 13 17  #SUP: 18285
5 8 13 19  #SUP: 16198
5 8 13 22  #SUP: 15048
5 8 13 48  #SUP: 15668
5 9 11 13  #SUP: 21352
5 9 11 17  #SUP: 15637
5 9 11 19  #SUP: 15074
5 9 13 17  #SUP: 13955
5 11 13 15  #SUP: 16599
5 11 13 17  #SUP: 20357
5 11 13 19  #SUP: 18337
5 11 13 22  #SUP: 16961
5 11 13 48  #SUP: 17229
5 11 17 19  #SUP: 14080
8 9 11 13  #SUP: 18000
8 11 13 15  #SUP: 14091
8 11 13 17  #SUP: 17041
8 11 13 19  #SUP: 15375
8 11 13 22  #SUP: 13939
8 11 13 48  #SUP: 14371
5 8 9 11 13  #SUP: 17695
5 8 11 13 15  #SUP: 13847
5 8 11 13 17  #SUP: 16783
5 8 11 13 19  #SUP: 15121
5 8 11 13 22  #SUP: 13693
5 8 11 13 48  #SUP: 14228
